halo_id,log10_Mvir,Mvir_Msol,c_NFW,Vvir_kms,Vmax_kms,phi_ana,phi_num,phi_corr,score_ana,score_num,score_corr,class_ana,class_num,class_corr,falso_escuro,recuperado,falso_estelar,delta_phi_num_pct,delta_phi_corr_pct,estrato
159,8.2820,1.9144e+08,14.952,8.3229,11.0553,-4.990343,-3.352822,-4.938540,1.071871,0.720150,1.060744,0,0,0,0,0,0,32.814,1.038,1
160,8.4712,2.9591e+08,11.575,9.6232,11.9935,-4.772463,-3.079187,-4.750429,1.025073,0.661376,1.020340,0,0,0,0,0,0,35.480,0.462,1
161,8.2378,1.7290e+08,22.064,8.0450,11.8966,-5.340721,-3.768475,-5.289500,1.147128,0.809427,1.136127,0,0,0,0,0,0,29.439,0.959,1
162,8.0735,1.1844e+08,16.146,7.0919,9.6129,-5.058265,-3.435716,-5.012053,1.086460,0.737954,1.076534,0,0,0,0,0,0,32.077,0.914,1
163,8.3367,2.1710e+08,17.597,8.6794,12.0413,-5.135262,-3.523619,-5.084561,1.102998,0.756835,1.092108,1,0,1,1,1,0,31.384,0.987,1
164,8.4754,2.9883e+08,19.549,9.6547,13.7912,-5.230388,-3.639523,-5.172390,1.123430,0.781730,1.110973,1,0,1,1,1,0,30.416,1.109,1
165,8.0939,1.2414e+08,28.545,7.2038,11.5050,-5.575920,-4.036394,-5.510602,1.197647,0.866973,1.183617,0,0,0,0,0,0,27.610,1.171,1
166,8.4008,2.5163e+08,14.161,9.1170,11.9416,-4.942935,-3.292240,-4.902352,1.061688,0.707137,1.052972,0,0,0,0,0,0,33.395,0.821,1
167,8.3570,2.2749e+08,24.781,8.8156,13.4892,-5.446900,-3.890704,-5.397250,1.169935,0.835681,1.159270,1,0,1,1,1,0,28.570,0.912,1
168,8.2504,1.7799e+08,20.756,8.1233,11.8028,-5.284952,-3.700588,-5.224998,1.135150,0.794846,1.122272,0,0,0,0,0,0,29.979,1.134,1
169,8.3580,2.2804e+08,20.335,8.8228,12.7443,-5.266252,-3.678494,-5.203858,1.131133,0.790100,1.117732,1,0,1,1,1,0,30.150,1.185,1
